country|dob|hand
MAS|14/01/1997|N/A
MRI|18/02/2001|N/A
MRI|16/07/1998|N/A
DOM|04/07/2000|N/A
NED|21/11/1998|N/A
TTO|14/06/1988|N/A
FRA|17/09/1945|N/A
BEL|27/11/1998|N/A
SWE|16/02/2001|N/A
BOT|12/07/1998|N/A
SUI|06/08/1994|RightHanded
THA|07/08/1998|N/A
FRA|03/06/1949|N/A
FRA|27/08/1962|RightHanded
SIN|09/07/1997|N/A
TTO|11/03/1995|N/A
MAS|29/01/1995|N/A
MAS|27/02/1999|N/A
BEL|25/12/2001|N/A
THA|05/05/1969|RightHanded
THA|13/02/2006|N/A
THA|23/02/1998|N/A
THA|N/A|N/A
THA|30/01/1996|N/A
THA|18/10/1995|N/A
THA|05/10/1995|N/A
IND|16/12/1999|N/A
IND|05/03/1997|N/A
IND|25/12/1995|N/A
KAZ|10/11/2002|N/A
DEN|N/A|RightHanded
IND|03/02/2001|N/A
IND|11/09/1997|N/A
DEN|27/11/1976|N/A
SWE|16/05/1991|N/A
SWE|12/08/1994|N/A
SWE|20/01/1999|N/A
SWE|07/05/2001|N/A
RUS|18/06/2004|N/A
BUL|N/A|RightHanded
UZB|04/11/2004|N/A
RUS|30/06/2000|N/A
RUS|09/04/1999|N/A
CZE|03/01/1999|N/A
POL|29/12/2003|N/A
ESP|09/02/1997|N/A
GER|16/09/1993|N/A
GER|10/06/2000|N/A
IRL|N/A|RightHanded
IND|24/06/1995|N/A
LTU|27/02/2001|N/A
FRA|29/08/2000|N/A
NED|28/07/1984|RightHanded
IND|28/02/1994|N/A
IND|29/03/1989|N/A
IND|08/10/1952|N/A
GER|20/12/1958|N/A
BEL|18/08/1997|N/A
UKR|23/08/2000|N/A
FRA|21/06/1976|N/A
PER|16/01/2002|N/A
BEN|05/11/1988|N/A
BEN|28/12/1989|N/A
SWE|03/10/1996|N/A
BUL|N/A|RightHanded
GRE|18/08/1999|N/A
RSA|27/07/1995|N/A
RSA|N/A|N/A
IND|30/07/1999|N/A
EGY|07/04/1986|N/A
GER|09/07/1984|N/A
GHA|20/05/1999|N/A
GHA|25/11/1988|N/A
GHA|20/02/2003|N/A
BEL|04/08/1999|N/A
SUI|04/06/2002|N/A
BEN|05/07/1995|N/A
THA|30/03/1999|N/A
ALG|30/07/2000|RightHanded
FRA|12/02/2001|N/A
GRE|21/03/2000|N/A
NZL|02/12/1999|N/A
ALG|25/01/1996|N/A
GER|07/04/2003|N/A
FRA|19/08/1965|N/A
PYF|20/04/1986|N/A
FRA|27/07/1988|N/A
BAR|23/11/1983|N/A
CAN|01/01/1990|N/A
CAN|24/04/1979|N/A
FRA|16/01/2002|N/A
FRA|28/08/1978|N/A
FRA|26/06/2002|N/A
FRA|13/09/1972|N/A
PYF|05/04/1998|N/A
PYF|14/10/2000|N/A
MAR|26/09/1997|N/A
ENG|26/03/1962|N/A
RSA|29/10/1954|N/A
RSA|28/08/1976|N/A
THA|25/06/2000|N/A
ENG|02/08/1952|N/A
IRL|27/06/2000|N/A
NZL|14/12/1999|N/A
IRL|31/08/1997|N/A
IRL|27/03/1995|N/A
ENG|16/07/1936|N/A
ENG|24/03/1939|N/A
IRL|02/04/1975|N/A
TUR|27/12/1966|N/A
HUN|04/02/2003|N/A
NED|19/11/2000|N/A
CZE|26/06/1996|N/A
POL|13/03/1973|N/A
BEL|26/09/1998|N/A
ENG|22/12/1967|RightHanded
ENG|01/01/1980|N/A
AUS|24/05/2001|N/A
IRL|03/04/1995|N/A
BEL|27/11/1999|N/A
GUA|15/04/1996|N/A
UKR|08/09/2000|N/A
ALG|26/09/1998|N/A
INA|28/04/2001|N/A
INA|27/10/2002|N/A
ALG|31/12/1989|N/A
NGR|25/12/1998|N/A
ESP|02/11/1995|N/A
SLO|11/03/2002|N/A
POR|08/04/1984|N/A
SUI|19/11/2003|N/A
RSA|01/10/1998|N/A
BRA|10/10/2000|N/A
SUR|N/A|RightHanded
SWE|26/11/1979|N/A
DEN|29/08/1997|N/A
RSA|21/01/1996|N/A
ROU|26/06/1990|N/A
GER|28/02/2001|N/A
NCL|25/03/1994|N/A
CZE|17/09/2002|N/A
ESP|13/04/1997|N/A
DOM|29/01/1998|N/A
ENG|07/06/1997|N/A
FRA|20/01/1956|N/A
FRA|07/06/2001|N/A
IRL|30/12/1996|N/A
NED|14/08/2000|N/A
SCO|06/10/1977|RightHanded
