date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151120|0:58|21|Ginting Anthony|none|12|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:34|21|Lee Cheuk Yiu|none|15|Tam Chun Hei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:34|21|Lee Cheuk Yiu|none|17|Tam Chun Hei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:16|21|Veronika Sorokina|none|8|Teng Iok U|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:16|21|Veronika Sorokina|none|7|Teng Iok U|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:18|21|Chen Hsiao Huan|none|4|Chan Kit Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:18|21|Chen Hsiao Huan|none|10|Chan Kit Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:23|21|Cheung Ying Mei|none|9|Doha Hany|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:23|21|Cheung Ying Mei|none|17|Doha Hany|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:26|21|Chan Tsz Kit|Law Cheuk Him|13|Watchara Buranakuea|Parinyawat Thongnuam|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:26|21|Chan Tsz Kit|Law Cheuk Him|15|Watchara Buranakuea|Parinyawat Thongnuam|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|21|Ruud Bosch|Oliver Leydon-Davis|18|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|19|Ruud Bosch|Oliver Leydon-Davis|21|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|21|Ruud Bosch|Oliver Leydon-Davis|13|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:17|21|Chung Yonny|Li Kuen Hon|10|Ali Ahmed El Khateeb|Abdelrahman Kashkal|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:17|21|Chung Yonny|Li Kuen Hon|6|Ali Ahmed El Khateeb|Abdelrahman Kashkal|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:16|21|Chan Dick Long Cotter|Ho Wai Lun|8|U Hang Lei|Kin Hei Tai|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:16|21|Chan Dick Long Cotter|Ho Wai Lun|6|U Hang Lei|Kin Hei Tai|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:38|21|Tsang Wing Chiu Avery|none|15|Fan Ka Yan|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:38|21|Tsang Wing Chiu Avery|none|19|Fan Ka Yan|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:29|21|Kenichi Tago|none|11|Alistair Casey|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:29|21|Kenichi Tago|none|11|Alistair Casey|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:42|17|Parinyawat Thongnuam|Natcha Saengchote|21|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|21|Parinyawat Thongnuam|Natcha Saengchote|16|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|21|Parinyawat Thongnuam|Natcha Saengchote|19|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|24|Or Chin Chung |Chan Kaka Tsz Ka|22|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|18|Or Chin Chung |Chan Kaka Tsz Ka|21|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|23|Or Chin Chung |Chan Kaka Tsz Ka|21|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:33|19|Law Cheuk Him|Yuen Sin Ying|21|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:33|21|Law Cheuk Him|Yuen Sin Ying|16|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:33|21|Law Cheuk Him|Yuen Sin Ying|16|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:28|21|Kazumasa Sakai|none|9|Wibowo Kho Henrikho|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:28|21|Kazumasa Sakai|none|9|Wibowo Kho Henrikho|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:48|21|Cheung Ying Mei|none|15|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:48|17|Cheung Ying Mei|none|21|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:48|21|Cheung Ying Mei|none|13|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:31|21|Yeung Sum Yee|none|12|Veronika Sorokina|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:31|21|Yeung Sum Yee|none|18|Veronika Sorokina|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:44|21|Kenta Nishimoto|none|17|Christie Jonatan [4]|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:44|21|Kenta Nishimoto|none|14|Christie Jonatan [4]|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:58|21|Ginting Anthony|none|19|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:58|11|Ginting Anthony|none|21|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:58|21|Ginting Anthony|none|12|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:26|21|Chen Hsiao Huan|none|16|Ng Wing Yung|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:26|21|Chen Hsiao Huan|none|13|Ng Wing Yung|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151120|0:30|21|Chung Yonny|Li Kuen Hon|19|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:30|10|Chung Yonny|Li Kuen Hon|21|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:30|21|Chung Yonny|Li Kuen Hon|19|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:31|21|Or Chin Chung |Tang Chun Man|12|Ruud Bosch|Oliver Leydon-Davis|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:31|21|Or Chin Chung |Tang Chun Man|15|Ruud Bosch|Oliver Leydon-Davis|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:18|21|Ng Tsz Yau|Yeung Nga Ting|9|Doha Hany [3]|Hadia Hosny|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:18|21|Ng Tsz Yau|Yeung Nga Ting|9|Doha Hany [3]|Hadia Hosny|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|21|Chen Hsiao Huan |Huang Mei Ching|13|Fan Ka Yan|Wu Yi Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|16|Chen Hsiao Huan |Huang Mei Ching|21|Fan Ka Yan|Wu Yi Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151120|0:42|21|Chen Hsiao Huan |Huang Mei Ching|15|Fan Ka Yan|Wu Yi Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:21|21|Alistair Casey|none|9|U Hang Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:21|21|Alistair Casey|none|6|U Hang Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:33|21|Kenichi Tago|none|15|Tzu Wei Wang|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:33|21|Kenichi Tago|none|15|Tzu Wei Wang|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:22|21|Kenta Nishimoto|none|8|Abdelrahman Kashkal|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:22|21|Kenta Nishimoto|none|14|Abdelrahman Kashkal|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:20|21|Wibowo Kho Henrikho|none|7|Ali Ahmed El Khateeb|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:20|21|Wibowo Kho Henrikho|none|14|Ali Ahmed El Khateeb|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:38|21|Kazumasa Sakai|none|14|Chan Yan Kit|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:38|21|Kazumasa Sakai|none|13|Chan Yan Kit|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:22|21|Christie Jonatan |none|7|Lee Chak Wai|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:22|21|Christie Jonatan |none|10|Lee Chak Wai|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:58|14|Ginting Anthony|none|21|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:58|21|Ginting Anthony|none|9|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:58|21|Ginting Anthony|none|12|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:34|21|Lee Cheuk Yiu|none|15|Tam Chun Hei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:34|21|Lee Cheuk Yiu|none|17|Tam Chun Hei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:16|21|Veronika Sorokina|none|8|Teng Iok U|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:16|21|Veronika Sorokina|none|7|Teng Iok U|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:18|21|Chen Hsiao Huan|none|4|Chan Kit Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:18|21|Chen Hsiao Huan|none|10|Chan Kit Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:23|21|Cheung Ying Mei|none|9|Doha Hany|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:23|21|Cheung Ying Mei|none|17|Doha Hany|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:26|21|Chan Tsz Kit|Law Cheuk Him|13|Watchara Buranakuea|Parinyawat Thongnuam|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:26|21|Chan Tsz Kit|Law Cheuk Him|15|Watchara Buranakuea|Parinyawat Thongnuam|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|21|Ruud Bosch|Oliver Leydon-Davis|18|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|19|Ruud Bosch|Oliver Leydon-Davis|21|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|21|Ruud Bosch|Oliver Leydon-Davis|13|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:17|21|Chung Yonny|Li Kuen Hon|10|Ali Ahmed El Khateeb|Abdelrahman Kashkal|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:17|21|Chung Yonny|Li Kuen Hon|6|Ali Ahmed El Khateeb|Abdelrahman Kashkal|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:16|21|Chan Dick Long Cotter|Ho Wai Lun|8|U Hang Lei|Kin Hei Tai|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:16|21|Chan Dick Long Cotter|Ho Wai Lun|6|U Hang Lei|Kin Hei Tai|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:38|21|Tsang Wing Chiu Avery|none|15|Fan Ka Yan|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:38|21|Tsang Wing Chiu Avery|none|19|Fan Ka Yan|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:29|21|Kenichi Tago|none|11|Alistair Casey|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:29|21|Kenichi Tago|none|11|Alistair Casey|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:42|17|Parinyawat Thongnuam|Natcha Saengchote|21|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|21|Parinyawat Thongnuam|Natcha Saengchote|16|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|21|Parinyawat Thongnuam|Natcha Saengchote|19|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|24|Or Chin Chung |Chan Kaka Tsz Ka|22|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|18|Or Chin Chung |Chan Kaka Tsz Ka|21|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|23|Or Chin Chung |Chan Kaka Tsz Ka|21|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:33|19|Law Cheuk Him|Yuen Sin Ying|21|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:33|21|Law Cheuk Him|Yuen Sin Ying|16|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:33|21|Law Cheuk Him|Yuen Sin Ying|16|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:28|21|Kazumasa Sakai|none|9|Wibowo Kho Henrikho|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:28|21|Kazumasa Sakai|none|9|Wibowo Kho Henrikho|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:48|21|Cheung Ying Mei|none|15|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:48|17|Cheung Ying Mei|none|21|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:48|21|Cheung Ying Mei|none|13|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:31|21|Yeung Sum Yee|none|12|Veronika Sorokina|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:31|21|Yeung Sum Yee|none|18|Veronika Sorokina|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:44|21|Kenta Nishimoto|none|17|Christie Jonatan [4]|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:44|21|Kenta Nishimoto|none|14|Christie Jonatan [4]|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:58|21|Ginting Anthony|none|19|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:58|11|Ginting Anthony|none|21|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:58|21|Ginting Anthony|none|12|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:26|21|Chen Hsiao Huan|none|16|Ng Wing Yung|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:26|21|Chen Hsiao Huan|none|13|Ng Wing Yung|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151121|0:30|21|Chung Yonny|Li Kuen Hon|19|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:30|10|Chung Yonny|Li Kuen Hon|21|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:30|21|Chung Yonny|Li Kuen Hon|19|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:31|21|Or Chin Chung |Tang Chun Man|12|Ruud Bosch|Oliver Leydon-Davis|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:31|21|Or Chin Chung |Tang Chun Man|15|Ruud Bosch|Oliver Leydon-Davis|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:18|21|Ng Tsz Yau|Yeung Nga Ting|9|Doha Hany [3]|Hadia Hosny|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:18|21|Ng Tsz Yau|Yeung Nga Ting|9|Doha Hany [3]|Hadia Hosny|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|21|Chen Hsiao Huan |Huang Mei Ching|13|Fan Ka Yan|Wu Yi Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|16|Chen Hsiao Huan |Huang Mei Ching|21|Fan Ka Yan|Wu Yi Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151121|0:42|21|Chen Hsiao Huan |Huang Mei Ching|15|Fan Ka Yan|Wu Yi Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:21|21|Alistair Casey|none|9|U Hang Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:21|21|Alistair Casey|none|6|U Hang Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:33|21|Kenichi Tago|none|15|Tzu Wei Wang|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:33|21|Kenichi Tago|none|15|Tzu Wei Wang|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:22|21|Kenta Nishimoto|none|8|Abdelrahman Kashkal|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:22|21|Kenta Nishimoto|none|14|Abdelrahman Kashkal|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:20|21|Wibowo Kho Henrikho|none|7|Ali Ahmed El Khateeb|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:20|21|Wibowo Kho Henrikho|none|14|Ali Ahmed El Khateeb|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:38|21|Kazumasa Sakai|none|14|Chan Yan Kit|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:38|21|Kazumasa Sakai|none|13|Chan Yan Kit|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:22|21|Christie Jonatan |none|7|Lee Chak Wai|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:22|21|Christie Jonatan |none|10|Lee Chak Wai|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:58|14|Ginting Anthony|none|21|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:58|21|Ginting Anthony|none|9|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:58|21|Ginting Anthony|none|12|Riichi Takeshita|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:34|21|Lee Cheuk Yiu|none|15|Tam Chun Hei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:34|21|Lee Cheuk Yiu|none|17|Tam Chun Hei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:16|21|Veronika Sorokina|none|8|Teng Iok U|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:16|21|Veronika Sorokina|none|7|Teng Iok U|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:18|21|Chen Hsiao Huan|none|4|Chan Kit Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:18|21|Chen Hsiao Huan|none|10|Chan Kit Lei|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:23|21|Cheung Ying Mei|none|9|Doha Hany|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:23|21|Cheung Ying Mei|none|17|Doha Hany|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:26|21|Chan Tsz Kit|Law Cheuk Him|13|Watchara Buranakuea|Parinyawat Thongnuam|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:26|21|Chan Tsz Kit|Law Cheuk Him|15|Watchara Buranakuea|Parinyawat Thongnuam|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|21|Ruud Bosch|Oliver Leydon-Davis|18|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|19|Ruud Bosch|Oliver Leydon-Davis|21|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|21|Ruud Bosch|Oliver Leydon-Davis|13|Chang Tak Ching|Yeung Shing Choi|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:17|21|Chung Yonny|Li Kuen Hon|10|Ali Ahmed El Khateeb|Abdelrahman Kashkal|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:17|21|Chung Yonny|Li Kuen Hon|6|Ali Ahmed El Khateeb|Abdelrahman Kashkal|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:16|21|Chan Dick Long Cotter|Ho Wai Lun|8|U Hang Lei|Kin Hei Tai|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:16|21|Chan Dick Long Cotter|Ho Wai Lun|6|U Hang Lei|Kin Hei Tai|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:38|21|Tsang Wing Chiu Avery|none|15|Fan Ka Yan|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:38|21|Tsang Wing Chiu Avery|none|19|Fan Ka Yan|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:29|21|Kenichi Tago|none|11|Alistair Casey|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:29|21|Kenichi Tago|none|11|Alistair Casey|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:42|17|Parinyawat Thongnuam|Natcha Saengchote|21|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|21|Parinyawat Thongnuam|Natcha Saengchote|16|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|21|Parinyawat Thongnuam|Natcha Saengchote|19|Chung Yonny|Ng Tsz Yau|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|24|Or Chin Chung |Chan Kaka Tsz Ka|22|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|18|Or Chin Chung |Chan Kaka Tsz Ka|21|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:42|23|Or Chin Chung |Chan Kaka Tsz Ka|21|Yeung Shing Choi|Ng Wing Yung|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:33|19|Law Cheuk Him|Yuen Sin Ying|21|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:33|21|Law Cheuk Him|Yuen Sin Ying|16|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:33|21|Law Cheuk Him|Yuen Sin Ying|16|Li Kuen Hon|Yeung Nga Ting|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:28|21|Kazumasa Sakai|none|9|Wibowo Kho Henrikho|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:28|21|Kazumasa Sakai|none|9|Wibowo Kho Henrikho|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:48|21|Cheung Ying Mei|none|15|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:48|17|Cheung Ying Mei|none|21|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:48|21|Cheung Ying Mei|none|13|Wu Yi Ting|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:31|21|Yeung Sum Yee|none|12|Veronika Sorokina|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:31|21|Yeung Sum Yee|none|18|Veronika Sorokina|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:44|21|Kenta Nishimoto|none|17|Christie Jonatan [4]|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:44|21|Kenta Nishimoto|none|14|Christie Jonatan [4]|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:58|21|Ginting Anthony|none|19|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:58|11|Ginting Anthony|none|21|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:58|21|Ginting Anthony|none|12|Lee Cheuk Yiu|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:26|21|Chen Hsiao Huan|none|16|Ng Wing Yung|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:26|21|Chen Hsiao Huan|none|13|Ng Wing Yung|none|4CA13689-EE4F-470E-99E6-6217CD896239|singles
20151122|0:30|21|Chung Yonny|Li Kuen Hon|19|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:30|10|Chung Yonny|Li Kuen Hon|21|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:30|21|Chung Yonny|Li Kuen Hon|19|Chan Alan Yun Lung [4]|Lee Chun Hei Reginald|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:31|21|Or Chin Chung |Tang Chun Man|12|Ruud Bosch|Oliver Leydon-Davis|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:31|21|Or Chin Chung |Tang Chun Man|15|Ruud Bosch|Oliver Leydon-Davis|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:18|21|Ng Tsz Yau|Yeung Nga Ting|9|Doha Hany [3]|Hadia Hosny|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
20151122|0:18|21|Ng Tsz Yau|Yeung Nga Ting|9|Doha Hany [3]|Hadia Hosny|4CA13689-EE4F-470E-99E6-6217CD896239|doubles
