date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161207|1:05|21|Baek Ha Na|Song Hyeon Joo|18|Bang Ji Sun|Han Ga Hee|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161207|0:19|21|Nami Matsuyama |Chiharu Shida|13|Bae Gyeong Eun|Park Ga Eun|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161207|0:19|21|Nami Matsuyama |Chiharu Shida|7|Bae Gyeong Eun|Park Ga Eun|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161207|0:39|15|Yusuke Onodera|none|21|Park Tae Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:39|21|Yusuke Onodera|none|9|Park Tae Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:39|21|Yusuke Onodera|none|10|Park Tae Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:26|21|Guo Kai|none|17|Choi Ji Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:26|21|Guo Kai|none|10|Choi Ji Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:29|21|Hsueh Hsuan Yi|none|18|Noh Ju Hong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:29|21|Hsueh Hsuan Yi|none|12|Noh Ju Hong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:31|21|Jung Ki Hwa|none|14|Denis Grachev|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:31|21|Jung Ki Hwa|none|13|Denis Grachev|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:51|22|Wang Tzu Wei |none|20|Park Wan Ho|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:51|10|Wang Tzu Wei |none|21|Park Wan Ho|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:51|21|Wang Tzu Wei |none|16|Park Wan Ho|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:36|21|Zhou Zeqi|none|13|Ha Young Woong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:36|21|Zhou Zeqi|none|13|Ha Young Woong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:22|21|Sun Feixiang|none|10|Lee Han Bich|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:22|21|Sun Feixiang|none|8|Lee Han Bich|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|1:07|17|Jeon Hyeok Jin |none|21|Yim Jong Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|1:07|21|Jeon Hyeok Jin |none|19|Yim Jong Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|1:07|21|Jeon Hyeok Jin |none|15|Yim Jong Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:28|21|Zhu Siyuan|none|9|Kim Min Ki|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:28|21|Zhu Siyuan|none|15|Kim Min Ki|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:25|21|Park Ji Su|none|13|Hin Shun Wong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:25|21|Park Ji Su|none|14|Hin Shun Wong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|1:06|19|Hashiru Shimono|none|21|Seo Seung Jae|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|1:06|21|Hashiru Shimono|none|15|Seo Seung Jae|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|1:06|21|Hashiru Shimono|none|16|Seo Seung Jae|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:26|21|Koki Watanabe|none|14|Han Ki Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:26|21|Koki Watanabe|none|17|Han Ki Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:13|21|Kim Moon Jun|none|4|Eisenhower Lee|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:13|21|Kim Moon Jun|none|3|Eisenhower Lee|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:54|21|Liew Daren|none|15|Woo Seung Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:54|20|Liew Daren|none|22|Woo Seung Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:54|21|Liew Daren|none|14|Woo Seung Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:06|9|Kodai Naraoka|none|5|Rho Ye Wook|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:06|Walkover Win|Kodai Naraoka|none|Walkover Loss|Rho Ye Wook|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:44|11|Shih Kuei Chun|none|21|Ko Gyung Bo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:44|21|Shih Kuei Chun|none|16|Ko Gyung Bo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:44|21|Shih Kuei Chun|none|14|Ko Gyung Bo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:48|16|Lee Ha Sung|none|21|Yehezkiel Fritz Mainaky|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:48|22|Lee Ha Sung|none|20|Yehezkiel Fritz Mainaky|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:48|21|Lee Ha Sung|none|16|Yehezkiel Fritz Mainaky|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:35|23|Zhao Jun Peng|none|21|Jo Gun Yeop|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:35|21|Zhao Jun Peng|none|13|Jo Gun Yeop|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:02|4|Milan Ludik|none|0|Kim In Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:02|Walkover Win|Milan Ludik|none|Walkover Loss|Kim In Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:38|21|Lee Dong Keun |none|8|Choi Young Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:38|21|Lee Dong Keun |none|16|Choi Young Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:31|21|Chu Han Chou|none|16|Nam Sung Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:31|21|Chu Han Chou|none|19|Nam Sung Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:26|21|Chen Chun-Wei|none|11|Ha Young Sik|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:26|21|Chen Chun-Wei|none|14|Ha Young Sik|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:20|21|Pannawit Thongnuam |none|7|Kim Jong Hwan|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:20|21|Pannawit Thongnuam |none|14|Kim Jong Hwan|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:35|22|Hwang Jong Soo|none|20|Sergey Sirant|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:35|21|Hwang Jong Soo|none|10|Sergey Sirant|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:55|21|Yu Igarashi|none|16|Lee Sang Min|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:55|18|Yu Igarashi|none|21|Lee Sang Min|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:55|21|Yu Igarashi|none|12|Lee Sang Min|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:28|21|Chang En Chia|none|14|Seo Myeong Soo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207|0:28|21|Chang En Chia|none|14|Seo Myeong Soo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207||Walkover Win|Heo Kwang Hee|none|Walkover Loss|Zulkiffli Zulfadli [5]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207||Walkover Win|Kim Dong Hoon|none|Walkover Loss|Kanta Tsuneyama [7]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207||Walkover Win|Yang Chih Hsun|none|Walkover Loss|Kang Jeon Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161207||Walkover Win|Parupalli Kashyap|none|Walkover Loss|Kang Min Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:39|21|Bae Gyeong Eun|none|18|Song Hyeon Joo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:39|8|Bae Gyeong Eun|none|21|Song Hyeon Joo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:39|21|Bae Gyeong Eun|none|18|Song Hyeon Joo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:30|21|Park Ga Eun|none|18|Baek Ha Na|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:30|21|Park Ga Eun|none|17|Baek Ha Na|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:39|23|Han To Sung|Han Ga Hee|21|Yang Po Han|Cheng Yu Chieh|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:39|28|Han To Sung|Han Ga Hee|26|Yang Po Han|Cheng Yu Chieh|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:24|21|Kenya Mitsuhashi|Miyuki Kato|14|Na Sung Seung|Kim Se Eun|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:24|21|Kenya Mitsuhashi|Miyuki Kato|15|Na Sung Seung|Kim Se Eun|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:48|21|Jun Bong Chan|Lee Sun Min|14|Wang Chi-Lin|Lee Chia Hsin|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:48|19|Jun Bong Chan|Lee Sun Min|21|Wang Chi-Lin|Lee Chia Hsin|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:48|22|Jun Bong Chan|Lee Sun Min|20|Wang Chi-Lin|Lee Chia Hsin|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:02|4|Lee Sang Joon|Kim Hye Jeong|3|Han Sang Hoon|Kim Min Kyung|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:02|Walkover Win|Lee Sang Joon|Kim Hye Jeong|Walkover Loss|Han Sang Hoon|Kim Min Kyung|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:26|21|Kim Won Ho|Lee Yu Rim|18|Po Li-Wei|Chang Ching Hui|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:26|21|Kim Won Ho|Lee Yu Rim|17|Po Li-Wei|Chang Ching Hui|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:49|21|Sim Yu Jin|none|15|Peng Li Ting [1]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:49|18|Sim Yu Jin|none|21|Peng Li Ting [1]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:49|21|Sim Yu Jin|none|12|Peng Li Ting [1]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:34|21|Ki Bo Hyun|none|19|Ahn Ji Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:34|21|Ki Bo Hyun|none|16|Ahn Ji Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:30|21|Jun Joo I|none|10|Lim Soo Bin [4]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:30|21|Jun Joo I|none|18|Lim Soo Bin [4]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Kim Yeo Reum|none|11|Noh Yeon Ji|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Kim Yeo Reum|none|13|Noh Yeon Ji|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Kim Ye Ji|none|14|Tang Wan Yi [3]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Kim Ye Ji|none|13|Tang Wan Yi [3]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:33|21|Ahn Chae Hyun|none|15|Liang Ting Yu [2]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:33|21|Ahn Chae Hyun|none|18|Liang Ting Yu [2]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Eom Ah Young|Mok Hye Min|10|Lim Hye Bin|Park Soo Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:26|21|Eom Ah Young|Mok Hye Min|19|Lim Hye Bin|Park Soo Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:25|21|Baek Ha Na|Song Hyeon Joo|13|Wen Hao Yun|Ye Jing Ya|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:25|21|Baek Ha Na|Song Hyeon Joo|13|Wen Hao Yun|Ye Jing Ya|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:36|21|Sim Yu Jin|none|17|Kim Yeo Reum|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:36|21|Sim Yu Jin|none|16|Kim Yeo Reum|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:49|18|Lee Sang Joon|Kim Hye Jeong|21|Jun Bong Chan|Lee Sun Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:49|21|Lee Sang Joon|Kim Hye Jeong|17|Jun Bong Chan|Lee Sun Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:49|21|Lee Sang Joon|Kim Hye Jeong|18|Jun Bong Chan|Lee Sun Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:24|21|Kim Won Ho|Lee Yu Rim|14|Yoshinori Takeuchi [2]|Yukiko Takahata|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:24|21|Kim Won Ho|Lee Yu Rim|15|Yoshinori Takeuchi [2]|Yukiko Takahata|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:25|22|Kim Ye Ji|none|20|Bae Gyeong Eun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Kim Ye Ji|none|14|Bae Gyeong Eun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:32|21|Ahn Jin Ha|Park Moon Sun|19|Lee Hong Sub|Lim Su Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:32|21|Ahn Jin Ha|Park Moon Sun|19|Lee Hong Sub|Lim Su Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208||Walkover Win|Jin Yong Hoon|Kim Young Sun|Walkover Loss|Choi Jong Woo|Jang Seung Hoon|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:44|20|Ahn Chae Hyun|none|22|Park Ga Eun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:44|21|Ahn Chae Hyun|none|19|Park Ga Eun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:44|21|Ahn Chae Hyun|none|13|Park Ga Eun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:22|21|Kenya Mitsuhashi|Miyuki Kato|15|Lee Hak Beom|Kim Min Ji|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:22|21|Kenya Mitsuhashi|Miyuki Kato|13|Lee Hak Beom|Kim Min Ji|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:33|21|Jun Joo I|none|13|Ki Bo Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:33|21|Jun Joo I|none|17|Ki Bo Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208||Walkover Win|Kim Yeo Reum|Lee Yu Rim|Walkover Loss|Chang Ching Hui [1]|Yu Chien Hui|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:28|21|Lee Sun Min|Park So Ri|17|Eom Ah Young|Mok Hye Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:28|21|Lee Sun Min|Park So Ri|16|Eom Ah Young|Mok Hye Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208||Walkover Win|Kang Min Hyuk|Kim Won Ho|Walkover Loss|Kang Jeon Woo|Kim Sung Hyo|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208||Walkover Win|Kim Moon Jun|Lee Sang Min|Walkover Loss|Jun Bong Chan|Jung Hoon Min|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|1:05|21|Baek Ha Na|Song Hyeon Joo|17|Bang Ji Sun|Han Ga Hee|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|1:05|17|Baek Ha Na|Song Hyeon Joo|21|Bang Ji Sun|Han Ga Hee|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|1:05|21|Baek Ha Na|Song Hyeon Joo|18|Bang Ji Sun|Han Ga Hee|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:19|21|Nami Matsuyama |Chiharu Shida|13|Bae Gyeong Eun|Park Ga Eun|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:19|21|Nami Matsuyama |Chiharu Shida|7|Bae Gyeong Eun|Park Ga Eun|A347FB40-3FF9-46EC-9F99-E782E68E37F5|doubles
20161208|0:39|15|Yusuke Onodera|none|21|Park Tae Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:39|21|Yusuke Onodera|none|9|Park Tae Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:39|21|Yusuke Onodera|none|10|Park Tae Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Guo Kai|none|17|Choi Ji Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Guo Kai|none|10|Choi Ji Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:29|21|Hsueh Hsuan Yi|none|18|Noh Ju Hong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:29|21|Hsueh Hsuan Yi|none|12|Noh Ju Hong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:31|21|Jung Ki Hwa|none|14|Denis Grachev|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:31|21|Jung Ki Hwa|none|13|Denis Grachev|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:51|22|Wang Tzu Wei |none|20|Park Wan Ho|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:51|10|Wang Tzu Wei |none|21|Park Wan Ho|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:51|21|Wang Tzu Wei |none|16|Park Wan Ho|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:36|21|Zhou Zeqi|none|13|Ha Young Woong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:36|21|Zhou Zeqi|none|13|Ha Young Woong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:22|21|Sun Feixiang|none|10|Lee Han Bich|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:22|21|Sun Feixiang|none|8|Lee Han Bich|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|1:07|17|Jeon Hyeok Jin |none|21|Yim Jong Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|1:07|21|Jeon Hyeok Jin |none|19|Yim Jong Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|1:07|21|Jeon Hyeok Jin |none|15|Yim Jong Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:28|21|Zhu Siyuan|none|9|Kim Min Ki|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:28|21|Zhu Siyuan|none|15|Kim Min Ki|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Park Ji Su|none|13|Hin Shun Wong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:25|21|Park Ji Su|none|14|Hin Shun Wong|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|1:06|19|Hashiru Shimono|none|21|Seo Seung Jae|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|1:06|21|Hashiru Shimono|none|15|Seo Seung Jae|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|1:06|21|Hashiru Shimono|none|16|Seo Seung Jae|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Koki Watanabe|none|14|Han Ki Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Koki Watanabe|none|17|Han Ki Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:13|21|Kim Moon Jun|none|4|Eisenhower Lee|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:13|21|Kim Moon Jun|none|3|Eisenhower Lee|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:54|21|Liew Daren|none|15|Woo Seung Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:54|20|Liew Daren|none|22|Woo Seung Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:54|21|Liew Daren|none|14|Woo Seung Hoon|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:06|9|Kodai Naraoka|none|5|Rho Ye Wook|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:06|Walkover Win|Kodai Naraoka|none|Walkover Loss|Rho Ye Wook|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:44|11|Shih Kuei Chun|none|21|Ko Gyung Bo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:44|21|Shih Kuei Chun|none|16|Ko Gyung Bo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:44|21|Shih Kuei Chun|none|14|Ko Gyung Bo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:48|16|Lee Ha Sung|none|21|Yehezkiel Fritz Mainaky|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:48|22|Lee Ha Sung|none|20|Yehezkiel Fritz Mainaky|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:48|21|Lee Ha Sung|none|16|Yehezkiel Fritz Mainaky|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:35|23|Zhao Jun Peng|none|21|Jo Gun Yeop|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:35|21|Zhao Jun Peng|none|13|Jo Gun Yeop|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:02|4|Milan Ludik|none|0|Kim In Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:02|Walkover Win|Milan Ludik|none|Walkover Loss|Kim In Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:38|21|Lee Dong Keun |none|8|Choi Young Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:38|21|Lee Dong Keun |none|16|Choi Young Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:31|21|Chu Han Chou|none|16|Nam Sung Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:31|21|Chu Han Chou|none|19|Nam Sung Hyun|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Chen Chun-Wei|none|11|Ha Young Sik|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:26|21|Chen Chun-Wei|none|14|Ha Young Sik|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:20|21|Pannawit Thongnuam |none|7|Kim Jong Hwan|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:20|21|Pannawit Thongnuam |none|14|Kim Jong Hwan|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:35|22|Hwang Jong Soo|none|20|Sergey Sirant|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:35|21|Hwang Jong Soo|none|10|Sergey Sirant|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:55|21|Yu Igarashi|none|16|Lee Sang Min|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:55|18|Yu Igarashi|none|21|Lee Sang Min|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:55|21|Yu Igarashi|none|12|Lee Sang Min|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:28|21|Chang En Chia|none|14|Seo Myeong Soo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208|0:28|21|Chang En Chia|none|14|Seo Myeong Soo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208||Walkover Win|Heo Kwang Hee|none|Walkover Loss|Zulkiffli Zulfadli [5]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208||Walkover Win|Kim Dong Hoon|none|Walkover Loss|Kanta Tsuneyama [7]|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208||Walkover Win|Yang Chih Hsun|none|Walkover Loss|Kang Jeon Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161208||Walkover Win|Parupalli Kashyap|none|Walkover Loss|Kang Min Woo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161209|0:39|21|Bae Gyeong Eun|none|18|Song Hyeon Joo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
20161209|0:39|8|Bae Gyeong Eun|none|21|Song Hyeon Joo|none|A347FB40-3FF9-46EC-9F99-E782E68E37F5|singles
