date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140605|0:28|21|Roshan Padma Kumara Thommaya Hakuru|Ruvini Chathurika Ratnasiri|11|Wai Chi Wan|Sok Man Wong|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:28|19|Roshan Padma Kumara Thommaya Hakuru|Ruvini Chathurika Ratnasiri|21|Wai Chi Wan|Sok Man Wong|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:28|21|Roshan Padma Kumara Thommaya Hakuru|Ruvini Chathurika Ratnasiri|9|Wai Chi Wan|Sok Man Wong|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:19|21|Hsuan Wen Chang|Shang Kai Lin|11|Mestiyage Don Dilina Gunatilleke|Mahen Anjana Samaranayake|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:19|21|Hsuan Wen Chang|Shang Kai Lin|13|Mestiyage Don Dilina Gunatilleke|Mahen Anjana Samaranayake|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:17|21|Mek Narongrit|Krit Tantianankul|9|Resintha Ridam De Silva|Shamika Hasaranga De Silva|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:17|21|Mek Narongrit|Krit Tantianankul|8|Resintha Ridam De Silva|Shamika Hasaranga De Silva|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:20|21|Shlok Ramchandran |Sanyam Shukla|11|Anjana Madusanka Wanniachchige Don|Bandara Yatawara|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:20|21|Shlok Ramchandran |Sanyam Shukla|5|Anjana Madusanka Wanniachchige Don|Bandara Yatawara|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:30|21|Li-Wei Po|Ming-Tse Yang|10|Napat Choonhajinda|Soravis Pijitpalakad|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:30|21|Li-Wei Po|Ming-Tse Yang|8|Napat Choonhajinda|Soravis Pijitpalakad|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:25|21|Chia-Han Lee|Yuan Cheng Wu|19|Mek Narongrit|Krit Tantianankul|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:25|21|Chia-Han Lee|Yuan Cheng Wu|17|Mek Narongrit|Krit Tantianankul|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140605|0:43|21|Rohit Yadav|none|19|Rutjatorn Ponwong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140605|0:43|19|Rohit Yadav|none|21|Rutjatorn Ponwong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140605|0:43|21|Rohit Yadav|none|15|Rutjatorn Ponwong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:40|11|Chirantaka Minimuthu Kukulage|none|21|Korawi Pikunngam|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:40|21|Chirantaka Minimuthu Kukulage|none|15|Korawi Pikunngam|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:40|21|Chirantaka Minimuthu Kukulage|none|10|Korawi Pikunngam|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:23|21|Oshadie Kuruppu|none|15|Teng Iok U|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:23|21|Oshadie Kuruppu|none|18|Teng Iok U|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Alisa Sapniti|none|9|Sithara Janithanjali|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Alisa Sapniti|none|9|Sithara Janithanjali|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:07|11|Karnjanavadee Bunsomboon|none|3|Renu Chandrika Hettiarachchige|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:07|Walkover Win|Karnjanavadee Bunsomboon|none|Walkover Loss|Renu Chandrika Hettiarachchige|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Buthmi Asini Galagamage|none|13|Sok Man Wong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|19|Buthmi Asini Galagamage|none|21|Sok Man Wong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Buthmi Asini Galagamage|none|8|Sok Man Wong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:55|22|Chaloempon Charoenkitamorn|none|24|Anjana Madusanka Wanniachchige Don|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:55|21|Chaloempon Charoenkitamorn|none|19|Anjana Madusanka Wanniachchige Don|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:55|21|Chaloempon Charoenkitamorn|none|17|Anjana Madusanka Wanniachchige Don|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:21|21|Soravis Pijitpalakad|none|12|Madusha De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:21|21|Soravis Pijitpalakad|none|11|Madusha De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Supamart Mingchua|none|9|Maria Mata Masinipeni|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Supamart Mingchua|none|8|Maria Mata Masinipeni|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Aghaei Hajiagha Soraya|none|8|Thanushi Anuthara Ratnayaka|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Aghaei Hajiagha Soraya|none|14|Thanushi Anuthara Ratnayaka|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Wong Chi Chong|none|9|Nadith De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Wong Chi Chong|none|17|Nadith De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606||Walkover Win|Siddharath Thakur |none|Walkover Loss|Sachintha Rajapakse|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Ting Yu Liang|none|11|Dayarathne Yasmitha Sankapale|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Ting Yu Liang|none|18|Dayarathne Yasmitha Sankapale|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|1:00|19|Edirimuni Chamika Dinusha Karunaratne|none|21|Pachaarapol Nipornram|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|1:00|21|Edirimuni Chamika Dinusha Karunaratne|none|14|Pachaarapol Nipornram|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|1:00|21|Edirimuni Chamika Dinusha Karunaratne|none|18|Pachaarapol Nipornram|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:18|21|Pramoddya Heshan Ranaweera|none|7|Alexander Serov [5]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:18|21|Pramoddya Heshan Ranaweera|none|12|Alexander Serov [5]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Alisa Sapniti|none|11|Illmee Warangana De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Alisa Sapniti|none|9|Illmee Warangana De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Neha Pandit |none|12|Oshadie Kuruppu|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Neha Pandit |none|8|Oshadie Kuruppu|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Napat Choonhajinda|none|19|Eranga Fernando|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Napat Choonhajinda|none|7|Eranga Fernando|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:24|21|Rohit Yadav|none|10|Chirantaka Minimuthu Kukulage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:24|21|Rohit Yadav|none|10|Chirantaka Minimuthu Kukulage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Karnjanavadee Bunsomboon|none|14|Waduthantri Kavindika Binari De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Karnjanavadee Bunsomboon|none|8|Waduthantri Kavindika Binari De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Thilini Pramodika Hendahewa|none|13|Buthmi Asini Galagamage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Thilini Pramodika Hendahewa|none|12|Buthmi Asini Galagamage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:47|21|Rutjatorn Ponwong|none|13|Mahen Anjana Samaranayake|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:47|19|Rutjatorn Ponwong|none|21|Mahen Anjana Samaranayake|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:47|21|Rutjatorn Ponwong|none|19|Mahen Anjana Samaranayake|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Harsha Perera|none|17|Eizlan Shah Misfahul Muneer|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Harsha Perera|none|12|Eizlan Shah Misfahul Muneer|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:22|21|Supamart Mingchua|none|10|Nadeesha Gayanthi Murukkuwadura [4]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:22|21|Supamart Mingchua|none|10|Nadeesha Gayanthi Murukkuwadura [4]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Aghaei Hajiagha Soraya|none|8|Ruvini Chathurika Ratnasiri|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Aghaei Hajiagha Soraya|none|14|Ruvini Chathurika Ratnasiri|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|En Chia Chang |none|14|Tanapat Kittinaowarat|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|En Chia Chang |none|16|Tanapat Kittinaowarat|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Omesh Fernando|none|19|Kantawat Leelavechabutr|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Omesh Fernando|none|18|Kantawat Leelavechabutr|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Supanida Katethong |none|13|Ting Yu Liang|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|Supanida Katethong |none|16|Ting Yu Liang|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Hsuan Wen Chang|Shang Kai Lin|11|Nimmika Thisara|Amila Yatapana|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:20|21|Hsuan Wen Chang|Shang Kai Lin|11|Nimmika Thisara|Amila Yatapana|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:23|21|Wei Chi Liou|none|10|Resintha Ridam De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:23|21|Wei Chi Liou|none|8|Resintha Ridam De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:46|14|Krit Tantianankul|none|21|Bandara Yatawara|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:46|21|Krit Tantianankul|none|16|Bandara Yatawara|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:46|21|Krit Tantianankul|none|13|Bandara Yatawara|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|S. Sunjith (Jr)|Pranav Satheesh|13|Lakshman Homer|Ajith Upendra Perera Jaya Samarakoon Miriyagodage|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|S. Sunjith (Jr)|Pranav Satheesh|14|Lakshman Homer|Ajith Upendra Perera Jaya Samarakoon Miriyagodage|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:40|21|Chia-Han Lee|Pin Chi Chao|12|Napat Choonhajinda|Karnjanavadee Bunsomboon|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:40|18|Chia-Han Lee|Pin Chi Chao|21|Napat Choonhajinda|Karnjanavadee Bunsomboon|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:40|26|Chia-Han Lee|Pin Chi Chao|24|Napat Choonhajinda|Karnjanavadee Bunsomboon|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:45|21|Vibhvimadusha Kukulage|none|19|Ratikanta Saha [2]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:45|14|Vibhvimadusha Kukulage|none|21|Ratikanta Saha [2]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:45|21|Vibhvimadusha Kukulage|none|14|Ratikanta Saha [2]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Mek Narongrit|none|13|Chaloempon Charoenkitamorn|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|22|Mek Narongrit|none|20|Chaloempon Charoenkitamorn|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Soravis Pijitpalakad|none|7|Wong Chi Chong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:25|21|Soravis Pijitpalakad|none|13|Wong Chi Chong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:29|21|Edirimuni Chamika Dinusha Karunaratne|none|19|Siddharath Thakur [3]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:29|21|Edirimuni Chamika Dinusha Karunaratne|none|13|Siddharath Thakur [3]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:28|19|Wei Chi Liou|Su Yu Chen|21|T. Hema Nagendra Babu|S. Poorvisha Ram|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:28|21|Wei Chi Liou|Su Yu Chen|17|T. Hema Nagendra Babu|S. Poorvisha Ram|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:28|21|Wei Chi Liou|Su Yu Chen|16|T. Hema Nagendra Babu|S. Poorvisha Ram|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:40|16|Napat Choonhajinda|none|21|Pramoddya Heshan Ranaweera|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:40|21|Napat Choonhajinda|none|18|Pramoddya Heshan Ranaweera|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:40|21|Napat Choonhajinda|none|12|Pramoddya Heshan Ranaweera|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|En Chia Chang |none|19|Harsha Perera|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:30|21|En Chia Chang |none|17|Harsha Perera|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Wei Chi Liou|none|12|Omesh Fernando|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Wei Chi Liou|none|7|Omesh Fernando|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:21|21|Ming-Tse Yang|Tzu Chin Pan|18|Soravis Pijitpalakad|Rawimon Iamratanamaetheekul|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:21|21|Ming-Tse Yang|Tzu Chin Pan|11|Soravis Pijitpalakad|Rawimon Iamratanamaetheekul|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:20|21|Krit Tantianankul|none|13|Vibhvimadusha Kukulage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Krit Tantianankul|none|9|Vibhvimadusha Kukulage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:20|21|Shang Kai Lin|Hsin-Yu Tsai|16|P. H. Suraj|Mohita Sahdev|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:20|21|Shang Kai Lin|Hsin-Yu Tsai|15|P. H. Suraj|Mohita Sahdev|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|Li-Wei Po|Ming-Tse Yang|15|Chirshan Danushka Handunkuttihettige Don|Pramoddya Heshan Ranaweera|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|Li-Wei Po|Ming-Tse Yang|15|Chirshan Danushka Handunkuttihettige Don|Pramoddya Heshan Ranaweera|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:35|21|Yan Sheng Lee|Sin Er Ng|17|Hsuan Wen Chang|Ya Ting Chiang|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:35|10|Yan Sheng Lee|Sin Er Ng|21|Hsuan Wen Chang|Ya Ting Chiang|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:35|21|Yan Sheng Lee|Sin Er Ng|19|Hsuan Wen Chang|Ya Ting Chiang|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:35|14|Prem Singh Chouhan |Manish Gupta|21|Eranga Fernando|Matarage Indika|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:35|21|Prem Singh Chouhan |Manish Gupta|11|Eranga Fernando|Matarage Indika|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:35|21|Prem Singh Chouhan |Manish Gupta|13|Eranga Fernando|Matarage Indika|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|S. Sunjith (Jr)|Pranav Satheesh|18|En Chia Chang|Yu-Hua Lai|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|S. Sunjith (Jr)|Pranav Satheesh|19|En Chia Chang|Yu-Hua Lai|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:28|21|Roshan Padma Kumara Thommaya Hakuru|Ruvini Chathurika Ratnasiri|11|Wai Chi Wan|Sok Man Wong|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:28|19|Roshan Padma Kumara Thommaya Hakuru|Ruvini Chathurika Ratnasiri|21|Wai Chi Wan|Sok Man Wong|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:28|21|Roshan Padma Kumara Thommaya Hakuru|Ruvini Chathurika Ratnasiri|9|Wai Chi Wan|Sok Man Wong|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:19|21|Hsuan Wen Chang|Shang Kai Lin|11|Mestiyage Don Dilina Gunatilleke|Mahen Anjana Samaranayake|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:19|21|Hsuan Wen Chang|Shang Kai Lin|13|Mestiyage Don Dilina Gunatilleke|Mahen Anjana Samaranayake|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:17|21|Mek Narongrit|Krit Tantianankul|9|Resintha Ridam De Silva|Shamika Hasaranga De Silva|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:17|21|Mek Narongrit|Krit Tantianankul|8|Resintha Ridam De Silva|Shamika Hasaranga De Silva|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:20|21|Shlok Ramchandran |Sanyam Shukla|11|Anjana Madusanka Wanniachchige Don|Bandara Yatawara|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:20|21|Shlok Ramchandran |Sanyam Shukla|5|Anjana Madusanka Wanniachchige Don|Bandara Yatawara|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:30|21|Li-Wei Po|Ming-Tse Yang|10|Napat Choonhajinda|Soravis Pijitpalakad|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:30|21|Li-Wei Po|Ming-Tse Yang|8|Napat Choonhajinda|Soravis Pijitpalakad|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|Chia-Han Lee|Yuan Cheng Wu|19|Mek Narongrit|Krit Tantianankul|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:25|21|Chia-Han Lee|Yuan Cheng Wu|17|Mek Narongrit|Krit Tantianankul|7596546B-7F3D-499A-90E9-90806ECA6123|doubles
20140606|0:43|21|Rohit Yadav|none|19|Rutjatorn Ponwong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:43|19|Rohit Yadav|none|21|Rutjatorn Ponwong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140606|0:43|21|Rohit Yadav|none|15|Rutjatorn Ponwong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:40|11|Chirantaka Minimuthu Kukulage|none|21|Korawi Pikunngam|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:40|21|Chirantaka Minimuthu Kukulage|none|15|Korawi Pikunngam|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:40|21|Chirantaka Minimuthu Kukulage|none|10|Korawi Pikunngam|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:23|21|Oshadie Kuruppu|none|15|Teng Iok U|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:23|21|Oshadie Kuruppu|none|18|Teng Iok U|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Alisa Sapniti|none|9|Sithara Janithanjali|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Alisa Sapniti|none|9|Sithara Janithanjali|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:07|11|Karnjanavadee Bunsomboon|none|3|Renu Chandrika Hettiarachchige|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:07|Walkover Win|Karnjanavadee Bunsomboon|none|Walkover Loss|Renu Chandrika Hettiarachchige|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|21|Buthmi Asini Galagamage|none|13|Sok Man Wong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|19|Buthmi Asini Galagamage|none|21|Sok Man Wong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|21|Buthmi Asini Galagamage|none|8|Sok Man Wong|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:55|22|Chaloempon Charoenkitamorn|none|24|Anjana Madusanka Wanniachchige Don|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:55|21|Chaloempon Charoenkitamorn|none|19|Anjana Madusanka Wanniachchige Don|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:55|21|Chaloempon Charoenkitamorn|none|17|Anjana Madusanka Wanniachchige Don|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:21|21|Soravis Pijitpalakad|none|12|Madusha De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:21|21|Soravis Pijitpalakad|none|11|Madusha De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Supamart Mingchua|none|9|Maria Mata Masinipeni|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Supamart Mingchua|none|8|Maria Mata Masinipeni|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Aghaei Hajiagha Soraya|none|8|Thanushi Anuthara Ratnayaka|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Aghaei Hajiagha Soraya|none|14|Thanushi Anuthara Ratnayaka|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|21|Wong Chi Chong|none|9|Nadith De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|21|Wong Chi Chong|none|17|Nadith De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607||Walkover Win|Siddharath Thakur |none|Walkover Loss|Sachintha Rajapakse|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Ting Yu Liang|none|11|Dayarathne Yasmitha Sankapale|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Ting Yu Liang|none|18|Dayarathne Yasmitha Sankapale|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|1:00|19|Edirimuni Chamika Dinusha Karunaratne|none|21|Pachaarapol Nipornram|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|1:00|21|Edirimuni Chamika Dinusha Karunaratne|none|14|Pachaarapol Nipornram|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|1:00|21|Edirimuni Chamika Dinusha Karunaratne|none|18|Pachaarapol Nipornram|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:18|21|Pramoddya Heshan Ranaweera|none|7|Alexander Serov [5]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:18|21|Pramoddya Heshan Ranaweera|none|12|Alexander Serov [5]|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|21|Alisa Sapniti|none|11|Illmee Warangana De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:30|21|Alisa Sapniti|none|9|Illmee Warangana De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Neha Pandit |none|12|Oshadie Kuruppu|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Neha Pandit |none|8|Oshadie Kuruppu|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Napat Choonhajinda|none|19|Eranga Fernando|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Napat Choonhajinda|none|7|Eranga Fernando|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:24|21|Rohit Yadav|none|10|Chirantaka Minimuthu Kukulage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:24|21|Rohit Yadav|none|10|Chirantaka Minimuthu Kukulage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Karnjanavadee Bunsomboon|none|14|Waduthantri Kavindika Binari De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:25|21|Karnjanavadee Bunsomboon|none|8|Waduthantri Kavindika Binari De Silva|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Thilini Pramodika Hendahewa|none|13|Buthmi Asini Galagamage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Thilini Pramodika Hendahewa|none|12|Buthmi Asini Galagamage|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:47|21|Rutjatorn Ponwong|none|13|Mahen Anjana Samaranayake|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:47|19|Rutjatorn Ponwong|none|21|Mahen Anjana Samaranayake|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:47|21|Rutjatorn Ponwong|none|19|Mahen Anjana Samaranayake|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
20140607|0:20|21|Harsha Perera|none|17|Eizlan Shah Misfahul Muneer|none|7596546B-7F3D-499A-90E9-90806ECA6123|singles
